Action,TimeSpent(s)
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0010
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
RETURN_ARM,0.0000
